credit_sco,credit_amo,tenure,balance,cred_card,active,saving,checking,clusters
671,709,long term,good balance,yes,yes,rich,rich,2
670,4795,long term,excellent balance,yes,no,little,moderate,0
694,3416,loyal,no balance,yes,yes,little,little,0
547,2462,long term,good balance,yes,yes,little,little,2
751,2288,new,good balance,yes,no,little,none,2
594,3566,new,excellent balance,yes,no,moderate,moderate,0
673,860,new,no balance,no,yes,little,little,2
610,682,new,no balance,yes,no,moderate,none,2
512,5371,new,no balance,no,yes,little,little,3
767,1582,new,good balance,no,yes,rich,none,2
585,1346,long term,good balance,no,yes,moderate,none,2
763,1924,long term,good balance,yes,no,little,none,2
712,5848,new,no balance,yes,yes,little,rich,3
539,7758,new,good balance,yes,no,rich,moderate,3
668,6967,new,no balance,yes,no,moderate,moderate,3
703,1282,new,good balance,no,yes,little,little,2
662,1288,long term,no balance,yes,no,moderate,little,2
725,339,long term,good balance,yes,no,little,little,2
703,3512,loyal,good balance,no,yes,moderate,moderate,0
659,1898,long term,good balance,yes,yes,none,none,2
523,2872,long term,no balance,yes,no,moderate,none,0
635,1055,loyal,excellent balance,yes,no,little,none,2
772,1262,long term,excellent balance,yes,no,quite rich,none,2
545,7308,new,no balance,yes,yes,little,moderate,3
634,909,loyal,good balance,yes,yes,quite rich,none,2
739,2978,loyal,excellent balance,yes,no,quite rich,none,0
771,1131,long term,good balance,no,no,little,little,2
587,1577,new,no balance,yes,yes,rich,moderate,2
681,3972,new,no balance,no,yes,little,none,0
544,1935,new,good balance,yes,yes,little,moderate,2
696,950,loyal,no balance,no,no,little,little,2
766,763,new,no balance,no,yes,little,none,2
727,2064,loyal,no balance,yes,yes,little,moderate,2
671,1414,long term,good balance,no,no,little,moderate,2
693,3414,long term,excellent balance,yes,yes,little,little,0
850,7485,new,good balance,yes,yes,none,none,3
732,2577,loyal,good balance,yes,yes,little,little,0
726,338,long term,good balance,yes,no,quite rich,little,2
557,1963,long term,excellent balance,yes,no,little,none,2
682,571,new,good balance,no,yes,little,little,2
738,9572,loyal,good balance,yes,yes,little,none,3
531,4455,loyal,good balance,yes,no,little,moderate,0
498,1647,new,no balance,yes,yes,none,little,2
651,3777,long term,no balance,yes,no,rich,none,0
549,884,long term,no balance,no,no,little,moderate,2
791,1360,long term,good balance,yes,no,little,none,2
650,5129,loyal,no balance,no,yes,little,moderate,0
733,1175,new,good balance,yes,no,little,moderate,2
811,674,new,excellent balance,yes,yes,moderate,little,2
707,3244,loyal,no balance,yes,no,little,moderate,0
712,4591,long term,excellent balance,no,yes,rich,none,0
706,3844,long term,no balance,yes,yes,moderate,moderate,0
756,3915,new,no balance,yes,yes,little,moderate,0
777,2108,loyal,no balance,yes,no,little,none,2
646,3031,long term,good balance,no,yes,moderate,moderate,0
714,1501,new,no balance,yes,no,little,moderate,2
782,1382,loyal,no balance,yes,yes,little,none,2
775,951,loyal,no balance,yes,yes,moderate,moderate,2
479,2760,long term,excellent balance,yes,yes,none,moderate,0
807,4297,long term,good balance,yes,yes,little,moderate,0
799,936,loyal,excellent balance,no,yes,quite rich,none,2
675,1168,long term,good balance,yes,no,little,little,2
602,5117,long term,good balance,yes,no,little,none,0
475,902,loyal,good balance,yes,no,little,little,2
744,1495,long term,excellent balance,yes,yes,little,none,2
588,10623,loyal,no balance,yes,no,little,little,1
703,1935,loyal,good balance,no,yes,little,none,2
747,1424,long term,good balance,yes,no,little,moderate,2
583,6568,long term,no balance,yes,no,little,little,3
750,1413,loyal,good balance,no,no,rich,none,2
681,3074,new,no balance,yes,yes,none,none,0
773,3835,new,excellent balance,yes,no,none,none,0
714,5293,long term,excellent balance,yes,yes,little,little,0
687,1908,long term,no balance,yes,no,little,rich,2
511,3342,new,excellent balance,yes,yes,none,none,0
627,932,long term,no balance,yes,yes,none,moderate,2
694,3104,loyal,no balance,yes,no,little,little,0
616,3913,long term,excellent balance,no,no,little,rich,0
687,3021,loyal,no balance,yes,no,little,little,0
712,1364,long term,no balance,yes,yes,little,none,2
553,625,long term,good balance,no,no,little,moderate,2
667,1200,new,good balance,yes,yes,none,little,2
731,707,new,no balance,yes,yes,little,none,2
629,2978,long term,excellent balance,yes,no,none,none,0
614,4657,long term,excellent balance,yes,no,little,none,0
438,2613,loyal,good balance,yes,no,little,none,0
652,10961,long term,no balance,yes,yes,rich,moderate,1
729,7865,long term,good balance,yes,no,little,little,3
642,1478,new,no balance,no,no,little,none,2
806,3149,new,excellent balance,yes,no,little,little,0
744,4210,new,excellent balance,yes,yes,little,rich,0
474,2507,new,no balance,no,no,quite rich,none,0
559,2141,new,excellent balance,yes,no,moderate,none,2
706,866,loyal,no balance,yes,yes,little,moderate,2
628,1544,new,no balance,yes,no,little,none,2
429,1823,long term,good balance,yes,no,little,little,2
525,14555,new,excellent balance,yes,yes,none,moderate,1
680,2767,loyal,excellent balance,yes,yes,moderate,moderate,0
749,1291,new,excellent balance,yes,no,little,none,2
763,2522,long term,no balance,no,no,little,little,0
734,915,new,no balance,yes,no,none,little,2
716,1595,long term,excellent balance,yes,no,little,none,2
594,4605,new,no balance,yes,no,little,little,0
644,1185,loyal,good balance,yes,no,little,none,2
671,3447,new,excellent balance,yes,yes,quite rich,none,0
664,1258,long term,good balance,yes,yes,little,none,2
656,717,long term,no balance,no,yes,little,none,2
667,1204,new,excellent balance,yes,no,moderate,none,2
663,1925,new,good balance,no,yes,little,rich,2
584,433,loyal,good balance,yes,no,little,none,2
626,666,long term,good balance,yes,no,rich,little,2
485,2251,long term,excellent balance,yes,no,little,rich,2
659,2150,new,excellent balance,no,yes,little,moderate,2
649,4151,new,no balance,yes,no,moderate,none,0
805,2030,long term,excellent balance,yes,no,none,moderate,2
716,7418,loyal,good balance,yes,no,none,moderate,3
642,2684,long term,excellent balance,no,yes,little,none,0
659,2149,long term,good balance,no,no,little,little,2
545,3812,long term,no balance,yes,yes,moderate,none,0
543,1154,loyal,no balance,no,no,moderate,none,2
718,1657,long term,no balance,yes,no,little,little,2
840,1603,long term,no balance,yes,no,little,little,2
630,5302,loyal,good balance,yes,no,little,little,0
643,2748,new,excellent balance,yes,yes,little,none,0
654,1231,new,good balance,yes,yes,little,none,2
582,802,long term,no balance,yes,yes,little,moderate,2
659,6304,new,good balance,yes,yes,none,none,3
762,1533,new,good balance,yes,yes,little,none,2
568,8978,long term,excellent balance,yes,no,little,little,3
670,999,long term,no balance,yes,yes,none,none,2
613,2662,new,excellent balance,yes,yes,none,none,0
539,1402,new,no balance,yes,no,quite rich,none,2
850,12169,loyal,excellent balance,yes,yes,none,moderate,1
522,3060,loyal,excellent balance,yes,no,little,moderate,0
737,11998,new,good balance,yes,yes,little,little,1
520,2697,new,no balance,no,yes,little,none,0
706,2404,new,no balance,no,yes,little,none,2
643,1262,new,excellent balance,no,yes,none,little,2
648,4611,loyal,good balance,yes,yes,little,none,0
443,1901,loyal,good balance,yes,no,moderate,none,2
640,3368,loyal,no balance,yes,yes,rich,none,0
628,1574,new,no balance,yes,yes,little,none,2
540,1445,loyal,good balance,yes,no,none,rich,2
460,1520,loyal,good balance,yes,yes,none,none,2
636,3878,new,good balance,no,yes,moderate,moderate,0
593,10722,new,excellent balance,yes,no,little,little,1
801,4788,long term,excellent balance,yes,yes,little,little,0
640,7582,new,good balance,no,yes,moderate,moderate,3
611,1092,new,good balance,yes,yes,little,moderate,2
802,1024,new,excellent balance,yes,yes,little,little,2
717,1076,long term,good balance,yes,yes,little,none,2
769,9398,loyal,no balance,no,yes,little,moderate,3
745,6419,loyal,good balance,yes,yes,little,little,3
572,4796,long term,excellent balance,yes,no,little,rich,0
629,7629,new,good balance,yes,no,none,none,3
687,9960,new,no balance,no,no,little,moderate,1
483,4675,loyal,no balance,yes,yes,none,none,0
690,1287,long term,good balance,yes,no,none,none,2
492,2515,loyal,good balance,no,yes,little,none,0
709,2745,loyal,excellent balance,yes,no,rich,moderate,0
705,672,new,good balance,yes,no,little,none,2
560,3804,loyal,no balance,yes,yes,little,moderate,0
611,1344,long term,no balance,yes,no,none,rich,2
730,1038,new,no balance,yes,yes,little,little,2
709,10127,new,no balance,no,yes,quite rich,none,1
544,1543,loyal,excellent balance,yes,no,rich,none,2
712,4811,long term,excellent balance,yes,yes,none,none,0
752,727,new,excellent balance,yes,yes,moderate,little,2
648,1237,loyal,excellent balance,yes,no,little,moderate,2
556,276,loyal,no balance,no,no,little,moderate,2
594,5381,new,good balance,yes,yes,none,moderate,3
645,5511,new,excellent balance,no,yes,moderate,none,3
557,3749,new,good balance,yes,yes,little,rich,0
547,685,loyal,excellent balance,yes,no,little,moderate,2
701,1494,loyal,no balance,no,yes,none,rich,2
616,2746,new,excellent balance,yes,no,little,little,0
605,708,new,good balance,yes,no,little,little,2
593,4351,long term,excellent balance,yes,yes,none,moderate,0
751,701,loyal,no balance,no,yes,little,none,2
443,3643,long term,good balance,no,yes,little,little,0
685,4249,loyal,no balance,yes,yes,little,moderate,0
718,1938,loyal,no balance,yes,no,little,little,2
538,2910,loyal,excellent balance,no,no,little,little,0
611,2659,long term,no balance,yes,no,rich,little,0
668,1028,loyal,excellent balance,yes,yes,little,none,2
537,3398,new,excellent balance,yes,no,little,little,0
709,5801,loyal,no balance,no,no,none,none,3
850,1525,new,no balance,yes,yes,rich,none,2
745,4473,new,excellent balance,yes,yes,little,rich,0
693,1068,loyal,excellent balance,yes,yes,little,moderate,2
795,6615,loyal,no balance,yes,no,little,little,3
626,1864,loyal,no balance,no,no,moderate,none,2
487,7408,long term,good balance,no,no,moderate,moderate,3
556,11590,loyal,good balance,yes,yes,moderate,none,1
643,4110,long term,no balance,no,no,little,little,0
605,3384,long term,no balance,no,no,little,little,0
756,2101,new,good balance,yes,no,little,moderate,2
586,1275,new,no balance,yes,no,none,little,2
535,4169,long term,good balance,yes,no,little,little,0
678,1521,long term,no balance,yes,no,little,moderate,2
596,5743,loyal,no balance,yes,no,little,moderate,3
648,3599,loyal,excellent balance,yes,no,little,little,0
492,3213,loyal,excellent balance,yes,no,quite rich,moderate,0
702,4439,new,good balance,yes,yes,little,moderate,0
486,3949,loyal,good balance,yes,no,little,rich,0
568,1459,new,good balance,no,no,little,none,2
619,882,new,excellent balance,yes,yes,little,moderate,2
724,3758,new,excellent balance,no,yes,quite rich,moderate,0
548,1743,new,good balance,yes,no,moderate,none,2
545,1136,loyal,good balance,yes,no,rich,moderate,2
683,1236,loyal,no balance,no,no,little,none,2
762,959,new,good balance,no,yes,little,moderate,2
627,3229,long term,good balance,yes,no,none,none,0
516,6199,loyal,good balance,no,no,little,little,3
800,727,new,excellent balance,yes,no,quite rich,none,2
464,1246,new,good balance,yes,yes,little,moderate,2
626,2331,new,no balance,no,no,none,none,2
790,4463,loyal,no balance,yes,no,little,none,0
534,776,long term,excellent balance,yes,yes,little,none,2
745,2406,new,excellent balance,yes,yes,little,little,2
553,1239,new,good balance,no,no,none,moderate,2
748,3399,new,good balance,no,yes,none,rich,0
722,2247,new,no balance,no,no,little,rich,2
501,1766,long term,excellent balance,yes,yes,little,none,2
675,2473,long term,good balance,no,no,little,little,2
778,1542,long term,excellent balance,yes,no,little,none,2
494,3850,long term,excellent balance,yes,no,little,none,0
850,3650,loyal,no balance,no,yes,little,little,0
592,3446,long term,good balance,no,no,little,little,0
590,3001,new,excellent balance,yes,no,little,moderate,0
758,3079,long term,excellent balance,no,yes,none,none,0
506,6070,long term,no balance,yes,no,little,none,3
733,2146,new,no balance,yes,yes,little,none,2
711,13756,new,no balance,yes,no,none,none,1
514,14782,new,good balance,no,yes,moderate,moderate,1
637,7685,loyal,no balance,yes,yes,little,little,3
468,2320,new,good balance,yes,yes,little,none,2
539,846,new,no balance,yes,no,none,none,2
509,14318,new,good balance,yes,no,little,moderate,1
662,362,long term,excellent balance,yes,yes,moderate,none,2
818,2212,long term,no balance,yes,yes,none,little,2
608,12976,loyal,good balance,yes,no,little,moderate,1
850,1283,loyal,no balance,yes,yes,none,none,2
816,1330,long term,excellent balance,yes,no,little,rich,2
536,4272,loyal,no balance,yes,no,moderate,none,0
753,2238,new,no balance,yes,yes,little,none,2
631,1126,loyal,excellent balance,yes,yes,none,none,2
703,7374,new,excellent balance,yes,no,little,moderate,3
774,2326,new,good balance,yes,no,quite rich,moderate,2
785,1449,loyal,no balance,yes,no,little,none,2
571,1820,new,no balance,yes,no,little,none,2
621,983,long term,excellent balance,no,no,rich,moderate,2
605,3249,new,good balance,yes,yes,little,little,0
611,1957,loyal,good balance,yes,no,little,little,2
569,2406,long term,no balance,yes,yes,little,none,2
658,11760,long term,good balance,yes,yes,moderate,moderate,1
788,2578,long term,excellent balance,no,yes,little,little,0
525,2348,long term,no balance,yes,no,little,little,2
798,1223,loyal,no balance,no,no,little,moderate,2
486,1516,loyal,good balance,yes,no,rich,none,2
615,1473,loyal,no balance,yes,no,little,none,2
730,1887,new,excellent balance,yes,yes,none,moderate,2
641,8648,long term,no balance,yes,no,little,none,3
542,802,new,excellent balance,yes,yes,little,none,2
692,2899,new,no balance,no,yes,none,moderate,0
714,2039,loyal,excellent balance,yes,yes,little,moderate,2
591,2197,new,good balance,yes,yes,none,none,2
710,1053,new,excellent balance,yes,yes,little,little,2
639,3235,long term,good balance,no,yes,quite rich,none,0
531,939,long term,no balance,no,no,quite rich,rich,2
673,1967,new,excellent balance,no,no,little,moderate,2
765,7253,loyal,good balance,yes,yes,little,none,3
622,2292,long term,excellent balance,yes,no,little,none,2
806,1597,long term,good balance,yes,yes,quite rich,none,2
757,1381,loyal,excellent balance,yes,yes,none,little,2
570,5842,loyal,no balance,no,yes,little,none,3
555,2579,long term,no balance,yes,yes,little,little,0
692,8471,long term,no balance,yes,yes,none,little,3
774,2782,long term,good balance,yes,no,quite rich,none,0
638,1042,loyal,good balance,yes,yes,none,moderate,2
543,3186,long term,no balance,no,no,rich,none,0
584,2028,long term,no balance,yes,no,none,moderate,2
691,958,long term,good balance,yes,no,little,moderate,2
684,1591,long term,excellent balance,yes,no,moderate,none,2
733,2762,long term,no balance,yes,yes,none,moderate,0
599,2779,new,no balance,yes,yes,little,moderate,0
524,2743,loyal,good balance,yes,yes,little,none,0
632,1149,long term,good balance,yes,no,rich,none,2
735,1313,long term,no balance,no,no,little,none,2
734,1190,long term,excellent balance,yes,yes,little,little,2
605,3448,new,excellent balance,yes,yes,little,none,0
793,11328,loyal,no balance,yes,no,little,moderate,1
468,1872,loyal,no balance,no,yes,little,little,2
779,2058,long term,excellent balance,yes,no,little,none,2
698,2136,long term,good balance,no,yes,little,little,2
707,1484,long term,good balance,no,yes,none,moderate,2
850,660,new,excellent balance,yes,no,quite rich,none,2
850,1287,long term,excellent balance,yes,yes,rich,none,2
527,3394,long term,good balance,yes,yes,little,little,0
696,609,loyal,good balance,yes,yes,little,rich,2
661,1884,new,excellent balance,no,no,little,none,2
776,1620,new,no balance,yes,yes,little,little,2
701,2629,new,no balance,yes,yes,little,moderate,0
610,719,loyal,no balance,yes,no,little,none,2
572,5096,new,excellent balance,yes,no,little,moderate,0
673,1244,new,good balance,yes,yes,none,none,2
519,1842,new,good balance,yes,yes,little,little,2
702,2576,long term,excellent balance,no,yes,little,moderate,0
729,1424,long term,good balance,yes,yes,none,rich,2
543,1512,loyal,good balance,yes,no,rich,moderate,2
550,11054,long term,good balance,yes,no,none,none,1
608,518,new,no balance,yes,no,little,none,2
639,2759,loyal,excellent balance,yes,no,little,none,0
686,2670,loyal,no balance,yes,no,little,none,0
564,4817,long term,good balance,no,yes,little,little,0
745,2679,new,good balance,yes,no,little,none,0
833,3905,loyal,excellent balance,yes,yes,little,little,0
622,3386,loyal,no balance,yes,yes,little,little,0
597,343,long term,good balance,yes,yes,little,little,2
721,4594,new,excellent balance,yes,no,little,none,0
504,3620,long term,no balance,no,yes,little,little,0
842,1721,new,good balance,yes,no,little,little,2
587,3017,new,no balance,yes,no,little,moderate,0
479,754,long term,excellent balance,yes,no,none,moderate,2
508,1950,long term,excellent balance,yes,yes,little,none,2
749,2924,new,no balance,yes,yes,little,little,0
721,1659,new,good balance,yes,no,little,little,2
674,7238,long term,good balance,yes,yes,none,none,3
685,2764,loyal,excellent balance,yes,no,little,none,0
417,4679,long term,no balance,yes,no,little,none,0
574,3092,new,excellent balance,yes,no,moderate,moderate,0
590,448,new,excellent balance,no,yes,little,little,2
587,654,long term,excellent balance,yes,no,little,little,2
598,1238,new,good balance,yes,no,none,none,2
741,1245,new,no balance,yes,yes,little,moderate,2
850,3114,long term,no balance,yes,yes,little,little,0
584,2569,long term,good balance,no,yes,quite rich,none,0
650,5152,new,excellent balance,no,yes,little,rich,0
607,1037,loyal,excellent balance,yes,yes,moderate,moderate,2
